20250915-14:47:57.543667387 E what {B:} 18=E|13=3|21=3|5=C|35=F|60=20250915T18:08:16.003158441|59=2|49=joe|17=hello|1=what
20250915-14:56:17.403209371 C ok {B:} 17=hello|18=4|40=D|6=ok|19=hello|52=20250915T08:32:57.564662542|20=1|11=boy|8=hello|31=0.8446
20250915-18:23:19.253253245 C ok {B:} 20=3|11=what|1=me|14=14703|38=2.1244|13=2|15=joe|31=1.0593|6=ok|40=6
20250915-07:41:25.831308686 E me {A:} 52=20250915T03:14:27.616490944|32=0.007401|12=0.08783|1=me|18=V|13=1|31=0.9632|38=1.9632|6=what|59=5
20250915-14:32:11.843674815 Z joe {A:} 151=0.9042|52=20250915T01:48:31.417865553|35=i|21=2|40=4|19=ok|12=0.00793|59=5|8=boy|1=what
20250915-09:08:26.830292341 D joe {B:} 52=20250915T16:00:44.775186089|38=0.8108|15=hello|59=5|12=0.06456|60=20250915T11:12:06.580394270|18=P|1=what|35=d|40=F
20250915-05:01:54.591170609 Z hello {A:} 60=20250915T04:13:24.338664125|19=ok|12=0.2292|5=C|1=hello|11=boy|13=3|21=2|20=3|17=joe
20250915-10:02:39.517651817 Z joe {A:} 40=B|1=ok|11=ok|35=D|12=0.17672|60=20250915T11:52:44.553621331|59=1|38=1.7953|32=0.023369|19=hello
20250915-18:48:16.480605060 C hello {A:} 17=joe|150=B|32=0.000875|52=20250915T18:41:31.898044645|5=C|6=me|1=boy|8=what|38=0.995|12=0.12419
20250915-16:38:59.752769564 C joe {A:} 38=0.8295|20=2|14=14518|18=E|8=me|11=me|150=7|17=hello|151=1.1046|35=Y
20250915-13:17:15.726914203 D joe {A:} 40=F|13=1|21=2|60=20250915T00:48:57.691753168|35=e|14=23206|32=0.007391|49=me|31=1.9778|11=boy
20250915-21:02:08.496683473 D hello {B:} 18=O|38=0.7472|20=1|52=20250915T10:21:42.970815295|5=R|1=boy|150=A|17=what|59=4|32=0.023644
20250915-18:22:58.239128288 Z joe {A:} 52=20250915T22:48:35.223314481|18=6|150=C|6=boy|19=what|59=0|12=0.2252|5=C|60=20250915T07:25:15.626746480|13=2
20250915-20:17:02.480133947 Z me {A:} 52=20250915T16:02:49.935247092|12=0.15384|151=1.9782|49=me|60=20250915T14:01:18.278030120|14=9350|150=E|59=6|35=V|5=N
20250915-20:01:29.048667285 E joe {B:} 60=20250915T14:28:20.044756413|38=0.5069|59=5|17=joe|5=R|8=hello|151=2.2477|35=d|49=hello|6=hello
20250915-20:55:57.694902206 Z joe {A:} 18=M|5=C|20=1|13=3|8=ok|59=4|35=k|15=me|151=1.9353|52=20250915T16:12:15.702999349
20250915-03:03:33.806877542 C ok {A:} 13=1|60=20250915T04:31:12.590892967|21=2|32=0.00599|38=2.1516|52=20250915T00:41:54.387217424|17=hello|14=8417|31=0.0641|11=me
20250915-12:11:29.562825000 Z joe {B:} 17=hello|12=0.22691|8=what|19=hello|38=0.8469|11=boy|14=1327|21=2|59=1|35=T
20250915-10:00:15.642135979 E boy {B:} 38=1.72|15=what|31=0.8521|1=me|21=1|60=20250915T11:44:23.842431997|6=boy|14=3050|12=0.24924|5=C
20250915-04:15:41.950093598 Z joe {A:} 14=21807|11=ok|21=2|5=R|6=joe|19=ok|59=5|32=0.007064|18=M|13=1
20250915-04:35:18.631757061 Z boy {B:} 32=0.01724|52=20250915T15:21:57.157210383|20=1|1=me|59=1|31=2.1009|40=C|18=W|19=boy|60=20250915T04:03:47.489823702
20250915-16:31:38.546166559 D ok {A:} 11=joe|8=ok|13=2|20=0|38=2.3418|40=E|32=0.01939|31=2.0851|49=what|17=me
20250915-02:44:56.201576475 Z ok {A:} 18=S|150=E|15=hello|151=1.7684|20=3|52=20250915T11:20:48.123133675|11=joe|40=P|1=boy|21=2
20250915-11:04:40.442190233 E hello {B:} 18=W|49=what|17=what|1=what|52=20250915T18:18:30.351123133|14=15446|15=ok|21=1|38=1.4411|151=0.7445
20250915-03:48:48.353070375 Z ok {A:} 15=me|150=3|52=20250915T15:49:21.028535580|35=Z|60=20250915T15:57:44.851922122|20=1|151=1.2858|13=3|17=me|49=ok
20250915-02:01:18.832000145 E ok {A:} 32=0.000421|6=what|60=20250915T01:27:46.453551146|150=7|12=0.0322|19=hello|40=P|18=G|17=boy|59=0
20250915-14:15:27.149325954 E boy {B:} 14=18881|32=0.001806|40=6|19=hello|21=1|59=1|31=2.0469|13=1|18=2|12=0.0336
20250915-01:38:50.967039387 C boy {B:} 21=1|150=2|52=20250915T12:05:03.008233262|60=20250915T13:13:20.565401997|38=1.0026|20=3|14=4542|5=N|59=6|12=0.05295
20250915-15:01:04.913060872 Z joe {A:} 38=0.4774|17=boy|6=boy|11=hello|151=0.4234|31=1.295|15=joe|49=boy|52=20250915T21:18:19.908642532|150=3
20250915-06:18:06.714137660 C hello {A:} 32=0.008337|60=20250915T09:12:46.767365839|13=1|35=c|40=A|20=1|150=C|11=ok|17=me|38=0.2997
20250915-07:23:30.388311499 D ok {B:} 35=6|38=0.1988|52=20250915T09:58:09.645212368|21=2|8=joe|13=3|59=3|15=joe|40=F|32=0.014373
20250915-03:54:45.139744385 Z boy {B:} 20=3|18=2|31=0.39|32=0.020187|59=2|11=ok|52=20250915T05:08:28.279463446|21=1|60=20250915T06:52:02.309431691|14=15668
20250915-00:41:02.942426294 Z hello {B:} 6=boy|31=1.5991|151=0.7138|150=E|12=0.10653|11=me|19=hello|21=3|1=hello|8=me
20250915-02:27:02.138358986 E ok {B:} 17=boy|59=1|49=hello|20=0|150=9|5=N|40=2|13=2|19=me|21=3
20250915-21:50:41.171942838 Z hello {B:} 151=1.7397|35=1|20=1|1=ok|31=2.2245|8=what|12=0.14348|13=3|49=joe|59=2
20250915-02:26:05.626540262 C hello {B:} 19=hello|5=R|32=0.007393|18=U|59=2|14=19837|15=joe|151=1.1887|31=0.3423|35=J
20250915-13:27:56.774453620 E ok {A:} 19=ok|31=0.467|60=20250915T18:29:48.098132710|20=3|40=A|6=what|11=boy|13=2|14=20629|12=0.1063
20250915-07:04:48.515233953 Z joe {B:} 1=joe|11=boy|52=20250915T08:57:33.151992369|17=ok|31=0.6081|20=1|18=U|32=0.018097|40=6|21=2
20250915-06:39:22.152309722 E me {A:} 35=B|14=10157|19=ok|18=G|59=0|8=what|15=me|5=C|21=3|40=C
20250915-21:49:16.297777634 E hello {B:} 151=1.67|150=A|18=4|8=hello|52=20250915T02:10:26.611705996|5=N|14=16102|32=0.000586|19=boy|59=6
20250915-22:13:22.804891838 E joe {B:} 14=13361|59=6|49=ok|52=20250915T12:15:04.357239766|35=B|5=C|40=B|60=20250915T08:58:21.868811198|31=0.1542|6=boy
20250915-10:10:09.691294716 C hello {A:} 59=4|18=S|12=0.1695|31=0.6089|32=0.00486|38=0.8709|40=6|60=20250915T09:27:13.506046840|8=me|21=1
20250915-01:20:02.552275948 C ok {A:} 20=2|60=20250915T08:57:15.849357468|32=0.015264|150=0|13=3|151=0.3486|8=ok|49=me|6=ok|17=hello
20250915-14:45:18.960810909 E ok {B:} 31=0.3216|14=1071|11=hello|15=ok|151=1.1047|6=me|19=ok|52=20250915T12:16:16.731345148|59=3|1=what
20250915-08:14:42.127406777 C joe {A:} 150=8|32=0.02003|20=2|14=22314|19=me|18=U|40=A|21=1|17=ok|151=2.4623
20250915-02:34:47.894021943 E hello {A:} 8=joe|14=23439|19=hello|49=ok|35=h|5=N|15=ok|1=me|60=20250915T10:43:38.621714519|17=boy
20250915-15:36:36.504958019 E me {A:} 1=what|21=2|40=F|59=1|17=boy|38=0.094|11=boy|12=0.18104|5=C|14=7966
20250915-02:02:54.144635735 E ok {B:} 60=20250915T20:31:53.623813022|20=0|38=1.8624|151=0.815|5=R|35=8|15=me|49=me|19=hello|31=2.0054
20250915-11:39:41.622675895 C ok {A:} 17=joe|38=1.3275|52=20250915T04:38:28.931640461|19=hello|59=6|13=3|35=h|60=20250915T11:35:29.034486683|11=what|151=0.0948
20250915-23:10:32.349602145 C hello {B:} 38=0.378|31=2.2877|49=ok|19=joe|6=me|15=hello|11=hello|14=21287|52=20250915T05:49:50.108412925|20=2
20250915-07:04:43.052171690 D hello {B:} 52=20250915T15:23:48.066860258|17=hello|60=20250915T17:25:12.747571736|151=1.2524|18=M|13=1|35=R|14=22457|31=1.7081|12=0.17171
20250915-10:44:09.239800572 E hello {B:} 18=4|31=1.3021|12=0.10594|35=3|19=ok|11=ok|38=0.3496|1=ok|17=hello|40=2
20250915-12:57:31.649710371 Z joe {A:} 49=ok|150=8|1=hello|17=boy|35=E|59=0|31=0.6547|60=20250915T09:41:56.390700499|151=1.7416|8=joe
20250915-14:14:39.211404006 C hello {B:} 49=what|8=me|151=0.27|18=9|13=2|19=boy|52=20250915T03:49:11.995810666|15=boy|5=N|31=1.8104
20250915-17:11:36.950558607 C hello {B:} 151=2.3519|35=R|20=2|1=ok|18=5|5=R|31=1.1125|40=C|17=me|52=20250915T06:17:48.005789383
20250915-07:59:11.612715559 D boy {B:} 38=1.8571|1=joe|52=20250915T08:15:11.372385271|19=boy|8=boy|18=F|60=20250915T19:06:39.621412106|11=me|13=2|40=D
20250915-21:52:24.503142060 C ok {A:} 49=me|13=3|32=0.010828|20=0|5=C|15=what|151=1.0156|35=E|8=boy|150=8
20250915-04:20:29.653952467 C hello {A:} 52=20250915T07:13:01.446526817|14=20057|8=what|12=0.12897|13=1|11=hello|19=boy|18=2|20=1|32=0.018259
20250915-08:23:47.196337102 D hello {A:} 8=joe|12=0.18435|5=R|14=22231|49=what|59=4|60=20250915T00:42:24.556428614|1=me|11=boy|15=hello
20250915-12:11:50.405500510 E me {A:} 52=20250915T11:53:25.645004564|60=20250915T19:56:18.047516839|49=ok|32=0.001387|8=ok|150=E|12=0.1599|15=me|11=me|21=2
20250915-02:29:26.534952941 C ok {B:} 151=1.3518|12=0.2437|17=joe|11=what|5=C|59=0|60=20250915T10:19:45.395445460|18=2|52=20250915T00:07:24.021932161|49=ok
20250915-03:55:19.114725651 C hello {A:} 14=4231|8=joe|6=joe|38=1.5978|35=H|19=me|49=what|13=1|151=1.4545|32=0.014663
20250915-23:30:30.635437762 Z joe {B:} 13=3|52=20250915T17:04:51.145878809|49=what|32=0.022555|150=D|12=0.23211|35=m|11=what|6=hello|59=5
20250915-11:48:58.714015987 Z hello {A:} 19=what|8=boy|40=6|52=20250915T15:54:37.162428172|6=boy|13=2|35=1|14=5406|1=joe|20=0
20250915-15:03:11.450875231 D boy {B:} 15=boy|12=0.09647|150=7|52=20250915T00:26:34.850950478|40=H|32=0.010079|31=1.7947|5=N|1=hello|151=0.1116
20250915-00:42:32.340400100 D boy {B:} 11=me|18=U|60=20250915T11:37:14.781561990|1=boy|5=N|49=ok|151=1.4491|52=20250915T09:28:38.355468149|38=2.3773|19=hello
20250915-02:33:36.560591010 E ok {B:} 60=20250915T02:34:01.298518991|59=4|21=2|6=hello|150=2|40=6|49=ok|52=20250915T11:32:21.405477781|15=joe|11=me
20250915-00:03:49.837051415 Z hello {A:} 17=boy|6=joe|32=0.012246|5=C|52=20250915T13:46:08.376655251|1=me|49=what|18=T|19=me|40=3
20250915-10:07:20.810538452 E hello {A:} 32=0.001894|12=0.1317|15=joe|8=me|52=20250915T17:39:43.327412543|40=9|6=boy|21=1|151=2.1515|5=R
20250915-04:10:40.150845458 E boy {B:} 38=1.0373|31=0.2226|32=0.020062|5=C|6=what|13=3|11=what|19=joe|21=1|49=ok
20250915-01:53:40.870133904 C boy {B:} 1=what|5=N|49=what|17=joe|12=0.16867|11=ok|19=ok|15=what|59=5|31=1.4318
20250915-22:04:14.649616268 E me {B:} 15=joe|40=1|11=hello|13=2|31=0.4797|12=0.24888|32=0.004801|19=boy|20=2|1=joe
20250915-20:56:26.396614081 C joe {A:} 6=ok|52=20250915T02:52:15.326350340|40=7|20=3|21=2|38=0.1238|1=joe|60=20250915T06:33:19.360855117|14=18729|13=3
20250915-13:07:31.951376857 E hello {B:} 150=B|8=hello|20=2|14=23426|40=B|5=C|32=0.007548|60=20250915T22:54:22.740108526|13=3|19=hello
20250915-14:55:18.361309803 E joe {A:} 19=hello|11=joe|12=0.03537|18=6|14=135|40=I|38=0.2475|20=3|17=me|6=what
20250915-18:01:22.757994629 Z me {B:} 1=what|5=N|20=1|8=me|150=3|21=3|35=h|40=8|151=2.4576|12=0.18228
20250915-08:42:53.096221840 D me {B:} 52=20250915T05:36:02.731495837|12=0.20069|19=joe|14=20311|6=hello|31=0.3661|13=2|59=6|40=I|21=3
20250915-12:37:21.973143891 C joe {B:} 20=2|12=0.05403|17=hello|60=20250915T08:48:04.968632212|13=3|32=0.011735|40=3|49=hello|5=C|35=8
20250915-05:53:30.099785298 D hello {A:} 19=boy|31=1.4586|20=0|15=ok|14=19015|35=S|13=2|1=hello|60=20250915T12:10:42.435397829|151=1.2988
20250915-09:44:08.087525828 E me {B:} 150=3|20=3|31=1.5869|19=boy|14=21509|13=2|15=ok|17=what|32=0.02263|38=1.2153
20250915-10:02:05.883372562 D hello {A:} 20=2|60=20250915T10:34:39.697141755|17=what|32=0.005493|15=ok|5=C|12=0.18421|150=B|49=me|18=9
20250915-19:30:20.123833933 D boy {B:} 150=B|32=0.016235|18=B|35=8|49=boy|15=ok|1=what|13=1|19=what|151=2.1649
20250915-14:28:52.997759214 E what {A:} 20=3|6=me|1=what|13=2|52=20250915T14:12:32.188860514|19=ok|49=what|32=0.007931|5=R|21=2
20250915-00:56:25.143079370 C hello {B:} 12=0.00864|40=C|14=16089|18=6|150=8|52=20250915T14:42:36.658578217|11=me|20=1|1=boy|31=2.3598
20250915-15:44:15.237659098 Z joe {A:} 38=2.3136|14=20031|8=me|11=ok|15=joe|35=k|13=2|17=what|12=0.10163|52=20250915T09:38:44.067600511
